match_status,korzika_title,lastrada_title,korzika_file,lastrada_file,normalized_title
lastrada_only,,A kettős bazilika – sötétség és fény,,C:\Users\lajos\Documents\Kirándulás szerkesztő\pois\POI_308_assisi_basilica_san_francesco.html,a kettos bazilika sotetseg es feny
korzika_only,DAY01 1. Scala di Santa Regina – kanyon,,C:\Users\lajos\Documents\Korzika 2026\day01\p1.html,,day01 1 scala di santa regina kanyon
korzika_only,DAY01 10. Col de Prato,,C:\Users\lajos\Documents\Korzika 2026\day01\p10.html,,day01 10 col de prato
korzika_only,DAY01 11. Pasquale Paoli szülőháza – Morosaglia,,C:\Users\lajos\Documents\Korzika 2026\day01\p11.html,,day01 11 pasquale paoli szulohaza morosaglia
korzika_only,DAY01 12. Couvent de Morosaglia,,C:\Users\lajos\Documents\Korzika 2026\day01\p12.html,,day01 12 couvent de morosaglia
korzika_only,DAY01 13. Castello-di-Rostino,,C:\Users\lajos\Documents\Korzika 2026\day01\p13.html,,day01 13 castello di rostino
korzika_only,DAY01 14. Ponte Novu,,C:\Users\lajos\Documents\Korzika 2026\day01\p14.html,,day01 14 ponte novu
korzika_only,DAY01 15. Village Miniature de Carcheto,,C:\Users\lajos\Documents\Korzika 2026\day01\p15.html,,day01 15 village miniature de carcheto
korzika_only,DAY01 2. Pasquale Paoli szobra – Corte,,C:\Users\lajos\Documents\Korzika 2026\day01\p2.html,,day01 2 pasquale paoli szobra corte
korzika_only,DAY01 3. Corte citadella,,C:\Users\lajos\Documents\Korzika 2026\day01\p3.html,,day01 3 corte citadella
korzika_only,DAY01 4. Belvédère de Corte,,C:\Users\lajos\Documents\Korzika 2026\day01\p4.html,,day01 4 belvedere de corte
korzika_only,DAY01 5. Église de Saint-Siméon,,C:\Users\lajos\Documents\Korzika 2026\day01\p5.html,,day01 5 eglise de saint simeon
korzika_only,DAY01 6. Orezza – ipari örökség és gyógyforrás,,C:\Users\lajos\Documents\Korzika 2026\day01\p6.html,,day01 6 orezza ipari orokseg es gyogyforras
korzika_only,DAY01 7. Piedicroce,,C:\Users\lajos\Documents\Korzika 2026\day01\p7.html,,day01 7 piedicroce
korzika_only,DAY01 8. Couvent d’Orezza,,C:\Users\lajos\Documents\Korzika 2026\day01\p8.html,,day01 8 couvent d orezza
korzika_only,DAY01 9. Saint-Jean-Baptiste templom – La Porta,,C:\Users\lajos\Documents\Korzika 2026\day01\p9.html,,day01 9 saint jean baptiste templom la porta
korzika_only,DAY01 lista nézet,,C:\Users\lajos\Documents\Korzika 2026\day01\index.html,,day01 lista nezet
korzika_only,DAY02 lista nézet,,C:\Users\lajos\Documents\Korzika 2026\day02\index.html,,day02 lista nezet
korzika_only,DAY03 1. Gare de Palasca,,C:\Users\lajos\Documents\Korzika 2026\day03\p1.html,,day03 1 gare de palasca
korzika_only,DAY03 10. Gorges de la Spelunca – szurdok,,C:\Users\lajos\Documents\Korzika 2026\day03\p10.html,,day03 10 gorges de la spelunca szurdok
korzika_only,DAY03 11. Statue du Christ Roi,,C:\Users\lajos\Documents\Korzika 2026\day03\p11.html,,day03 11 statue du christ roi
korzika_only,DAY03 2. L’Île-Rousse,,C:\Users\lajos\Documents\Korzika 2026\day03\p2.html,,day03 2 l ile rousse
korzika_only,DAY03 3. A Casarella – kilátásos falusi étterem (Nonza),,C:\Users\lajos\Documents\Korzika 2026\day03\p3.html,,day03 3 a casarella kilatasos falusi etterem nonza
korzika_only,"DAY03 4. Église de la Trinité, Aregno",,C:\Users\lajos\Documents\Korzika 2026\day03\p4.html,,day03 4 eglise de la trinite aregno
korzika_only,DAY03 5. Sant’Antonino – hegytetői erődített falu,,C:\Users\lajos\Documents\Korzika 2026\day03\p5.html,,day03 5 sant antonino hegytetoi eroditett falu
korzika_only,DAY03 6. Calvi citadella,,C:\Users\lajos\Documents\Korzika 2026\day03\p6.html,,day03 6 calvi citadella
korzika_only,DAY03 7. Notre-Dame de la Serra – Calvi szenthelye,,C:\Users\lajos\Documents\Korzika 2026\day03\p7.html,,day03 7 notre dame de la serra calvi szenthelye
korzika_only,DAY03 8. Fango-völgy,,C:\Users\lajos\Documents\Korzika 2026\day03\p8.html,,day03 8 fango volgy
korzika_only,DAY03 9. Porto-öböl – UNESCO világörökség,,C:\Users\lajos\Documents\Korzika 2026\day03\p9.html,,day03 9 porto obol unesco vilagorokseg
korzika_only,DAY03 lista nézet,,C:\Users\lajos\Documents\Korzika 2026\day03\index.html,,day03 lista nezet
korzika_only,DAY04 1. Lac de Calacuccia (Calacuccia-tó és Gát),,C:\Users\lajos\Documents\Korzika 2026\day04\p1.html,,day04 1 lac de calacuccia calacuccia to es gat
korzika_only,DAY04 10. Maison du Mouflon (Muflon-ház),,C:\Users\lajos\Documents\Korzika 2026\day04\p10.html,,day04 10 maison du mouflon muflon haz
korzika_only,DAY04 11. Station du Haut-Asco (Haut-Asco síállomás és Stagnu-fennsík),,C:\Users\lajos\Documents\Korzika 2026\day04\p11.html,,day04 11 station du haut asco haut asco siallomas es stagnu fennsik
korzika_only,DAY04 2. Scala di Santa Regina (Sziklaszoros),,C:\Users\lajos\Documents\Korzika 2026\day04\p2.html,,day04 2 scala di santa regina sziklaszoros
korzika_only,DAY04 3. Morosaglia (Castagniccia kapuja),,C:\Users\lajos\Documents\Korzika 2026\day04\p3.html,,day04 3 morosaglia castagniccia kapuja
korzika_only,DAY04 4. Ponte Leccia (Csomópont),,C:\Users\lajos\Documents\Korzika 2026\day04\p4.html,,day04 4 ponte leccia csomopont
korzika_only,DAY04 5. Vallée de l'Asco (Asco-völgy bejárata),,C:\Users\lajos\Documents\Korzika 2026\day04\p5.html,,day04 5 vallee de l asco asco volgy bejarata
korzika_only,DAY04 6. Gorges de l'Asco - Alsó szakasz,,C:\Users\lajos\Documents\Korzika 2026\day04\p6.html,,day04 6 gorges de l asco also szakasz
korzika_only,DAY04 7. Asco (Falu),,C:\Users\lajos\Documents\Korzika 2026\day04\p7.html,,day04 7 asco falu
korzika_only,DAY04 8. Pont Génois d'Asco (Genovai híd Asco alatt),,C:\Users\lajos\Documents\Korzika 2026\day04\p8.html,,day04 8 pont genois d asco genovai hid asco alatt
korzika_only,DAY04 9. Pont de Roggia (Roggia-híd),,C:\Users\lajos\Documents\Korzika 2026\day04\p9.html,,day04 9 pont de roggia roggia hid
korzika_only,DAY04 lista nézet,,C:\Users\lajos\Documents\Korzika 2026\day04\index.html,,day04 lista nezet
korzika_only,DAY05 1. Défilé de l’Inzecca (Szurdok),,C:\Users\lajos\Documents\Korzika 2026\day05\p1.html,,day05 1 defile de l inzecca szurdok
korzika_only,DAY05 10. Vivario (Település),,C:\Users\lajos\Documents\Korzika 2026\day05\p10.html,,day05 10 vivario telepules
korzika_only,DAY05 11. Pont du Vecchio (Híd),,C:\Users\lajos\Documents\Korzika 2026\day05\p11.html,,day05 11 pont du vecchio hid
korzika_only,DAY05 2. Lac de Sampolo (Tó),,C:\Users\lajos\Documents\Korzika 2026\day05\p2.html,,day05 2 lac de sampolo to
korzika_only,DAY05 3. Ghisonaccia / T10-es út (Síkvidék),,C:\Users\lajos\Documents\Korzika 2026\day05\p3.html,,day05 3 ghisonaccia t10 es ut sikvidek
korzika_only,DAY05 4. Solenzara (Tengerparti város),,C:\Users\lajos\Documents\Korzika 2026\day05\p4.html,,day05 4 solenzara tengerparti varos
korzika_only,DAY05 5. Gorges de la Solenzara (Folyóvölgy),,C:\Users\lajos\Documents\Korzika 2026\day05\p5.html,,day05 5 gorges de la solenzara folyovolgy
korzika_only,DAY05 6. Col de Bavella (Hágó és Aiguilles),,C:\Users\lajos\Documents\Korzika 2026\day05\p6.html,,day05 6 col de bavella hago es aiguilles
korzika_only,DAY05 7. Zonza (Érkezés),,C:\Users\lajos\Documents\Korzika 2026\day05\p7.html,,day05 7 zonza erkezes
korzika_only,DAY05 8. Ghisoni (Település),,C:\Users\lajos\Documents\Korzika 2026\day05\p8.html,,day05 8 ghisoni telepules
korzika_only,DAY05 9. Col de Sorba (Hágó),,C:\Users\lajos\Documents\Korzika 2026\day05\p9.html,,day05 9 col de sorba hago
korzika_only,DAY05 lista nézet,,C:\Users\lajos\Documents\Korzika 2026\day05\index.html,,day05 lista nezet
korzika_only,Déli kikötői életérzés,,C:\Users\lajos\Documents\Korzika 2026\day02\p2.html,,deli kikotoi eleterzes
korzika_only,Filmes kulisszák és korzikai báj,,C:\Users\lajos\Documents\Korzika 2026\day02\p3.html,,filmes kulisszak es korzikai baj
korzika_only,Hegyvidéki bázispont,,C:\Users\lajos\Documents\Korzika 2026\day02\p1.html,,hegyvideki bazispont
lastrada_only,,I. A Citadella és a sziklákba vájt történelem,,C:\Users\lajos\Documents\Kirándulás szerkesztő\pois\POI_235_bonifacio_corsica.html,i a citadella es a sziklakba vajt tortenelem
korzika_only,Kanyarvadászat és panoráma,,C:\Users\lajos\Documents\Korzika 2026\day02\p7.html,,kanyarvadaszat es panorama
korzika_only,Kikötői atmoszféra és stílus,,C:\Users\lajos\Documents\Korzika 2026\day02\p6.html,,kikotoi atmoszfera es stilus
korzika_only,Korzika 2026,,C:\Users\lajos\Documents\Korzika 2026\index.html,,korzika 2026
korzika_only,Seneca és a korzikai magány,,C:\Users\lajos\Documents\Korzika 2026\day02\p4.html,,seneca es a korzikai magany
korzika_only,Történelmi erőd és panoráma,,C:\Users\lajos\Documents\Korzika 2026\day02\p5.html,,tortenelmi erod es panorama
